speaker,gender
By Bishop Keith B. McMullin,male
By Anne Marie Rose,female
By Anne Prescott,female
By Susan L. Warner,female
Bruce C. Hafen,male
Francisco J. Viñas,male
Quentin L. Cook,male
Wm. Rolfe Kerr,male
By Alejandra Hernández,female
L. Edward Brown,male
Jerald L. Taylor,male
Dennis E. Simmons,male
By Fono Lavatai,female
Sheldon F. Child,male
By Kristin Banner,female
Carl B. Pratt,male
By Mary Ellen Smoot,female
Duane B. Gerrard,male
Richard J. Maynes,male
Richard B. Wirthlin,male
J. Kent Jolley,male
By Virginia U. Jensen,female
By Sheri L. Dew,female
Richard D. Allred,male
Eran A. Call,male
Wayne M. Hancock,male
Donald L. Staheli,male
By Margaret D. Nadauld,female
By Carol B. Thomas,female
Richard E. Cook,male
Richard E. Turley Sr.,male
Lynn G. Robbins,male
Dale E. Miller,male
By Sharon G. Larsen,female
Athos M. Amorím,male
Earl M. Monson,male
Gordon T. Watts,male
Merrill C. Oaks,male
E Ray Bateman,male
H. Bryan Richards,male
Ronald T. Halverson,male
Val R. Christensen,male
Stephen A. West,male
Ray H. Wood,male
Robert J. Whetten,male
D. Lee Tobler,male
Ned B. Roueché,male
David R. Stone,male
Stephen B. Oveson,male
Robert S. Wood,male
Richard H. Winkel,male
H. Bruce Stucki,male
Adhemar Damiani,male
By Coleen K. Menlove,female
Keith Crockett,male
Douglas L. Callister,male
H. Aldridge Gillespie,male
Donald L. Hallstrom,male
Robert C. Oaks,male
Ronald A. Rasband,male
Darwin B. Christenson,male
By Sydney S. Reynolds,female
Cecil O. Samuelson Jr.,male
Wayne S. Peterson,male
Walter F. González,male
Steven E. Snow,male
L. Whitney Clayton,male
H. Ross Workman,male
Keith K. Hilbig,male
By Mary Ellen W. Smoot,female
Christoffel Golden Jr.,male
Robert F. Orton,male
R. Conrad Schultz,male
Robert R. Steuer,male
William R. Walker,male
By Gayle M. Clegg,female
Gerald N. Lund,male
By Kathleen H. Hughes,female
By Anne C. Pingree,female
D. Rex Gerratt,male
Craig C. Christensen,male
By Susan W. Tanner,female
James M. Dunn,male
By Elaine S. Dalton,female
By Julie B. Beck,female
Daryl H. Garn,male
Spencer V. Jones,male
Shirley D. Christensen,male
William W. Parmley,male
Mervyn B. Arnold,male
Clate W. Mask Jr.,male
W. Douglas Shumway,male
W. Rolfe Kerr,male
David A. Bednar,male
Lowell M. Snow,male
Paul E. Koelliker,male
Benjamín De Hoyos,male
Paul K. Sybrowsky,male
By Cheryl C. Lant,female
Paul V. Johnson,male
C. Scott Grow,male
Won Yong Ko,male
Ulisses Soares,male
David F. Evans,male
Wolfgang H. Paul,male
Richard G. Hinckley,male
Keith R. Edwards,male
Stanley G. Ellis,male
Larry W. Gibbons,male
Marcus B. Nash,male
Craig A. Cardon,male
David S. Baxter,male
Anthony D. Perkins,male
By Margaret S. Lifferth,female
Shayne M. Bowen,male
Daniel L. Johnson,male
Paul B. Pieper,male
By A. Roger Merrill,male
Don R. Clarke,male
By Charles W. Dahlquist II,male
By Vicki F. Matsumori,female
By Silvia H. Allred,female
Erich W. Kopischke,male
Octaviano Tenorio,male
By Daniel K Judd,male
Michael J. Teh,male
Claudio D. Zivic,male
Enrique R. Falabella,male
By Mary N. Cook,female
By Barbara Thompson,female
By Dean R. Burgess,male
Gérald Caussé,male
Lawrence E. Corbridge,male
Eduardo Gavarret,male
Carlos A. Godoy,male
Marcos A. Aidukaitis,male
James J. Hamula,male
By William D. Oswald,male
Kevin W. Pearson,male
By Ann M. Dibb,female
By Michael A. Neider,male
F. Michael Watson,male
Rafael E. Pino,male
José A. Teixeira,male
Gary E. Stevenson,male
Allan F. Packer,male
By Russell T. Osguthorpe,male
Dale G. Renlund,male
Jorge F. Zeballos,male
Kent D. Watson,male
Joseph W. Sitati,male
Tad R. Callister,male
Yoon Hwan Choi,male
Michael T. Ringwood,male
Brent H. Nielson,male
Bradley D. Foster,male
Wilford W. Andersen,male
James B. Martino,male
Koichi Aoyagi,male
Bruce A. Carlson,male
By David L. Beck,male
Gregory A. Schwitzer,male
Juan A. Uceda,male
By Rosemary M. Wixom,female
Patrick Kearon,male
By David M. McConkie,male
Jairo Mazzagardi,male
Kevin R. Duncan,male
Per G. Malm,male
Larry R. Lawrence,male
Gerrit W. Gong,male
By Jean A. Stevens,female
By Larry M. Gibson,male
Kent F. Richards,male
J. Devn Cornish,male
Kazuhiko Yamashita,male
Randall K. Bennett,male
LeGrand R. Curtis Jr.,male
José L. Alonso,male
Carl B. Cook,male
By Matthew O. Richardson,male
Ian S. Ardern,male
W. Christopher Waddell,male
Larry Y. Wilson,male
By Cheryl A. Esplin,female
O. Vincent Haleck,male
By Adrián Ochoa,male
By Linda K. Burton,female
Robert C. Gay,male
By Bishop Gary E. Stevenson,male
By Linda S. Reeves,female
Larry Echo Hawk,male
By Carole M. Stephens,female
Scott D. Whiting,male
By Bishop Dean M. Davies,male
By Bonnie L. Oscarson,female
Kevin S. Hamilton,male
Adrián Ochoa,male
Timothy J. Dyches,male
Edward Dube,male
Arnulfo Valenzuela,male
Terence M. Vinson,male
By Bishop Gérald Caussé,male
Randy D. Funk,male
S. Gifford Nielsen,male
By Randall L. Ridd,male
Michael John U. Teh,male
By Neill F. Marriott,female
Jörg Klebingat,male
Chi Hong (Sam) Wong,male
Hugo E. Martinez,male
Larry S. Kacher,male
By Carol F. McConkie,female
By Tad R. Callister,male
Hugo Montoya,male
Vern P. Stanfill,male
Von G. Keetch,male
Allen D. Haynie,male
Kim B. Clark,male
By Mary R. Durham,female
By Bishop W. Christopher Waddell,male
By Stephen W. Owen,male
By Jean B. Bingham,female
Peter F. Meurs,male
By Brian K. Ashton,male
K. Brett Nattress,male
W. Mark Bassett,male
Evan A. Schmutz,male
Gary B. Sabin,male
Joaquin E. Costa,male
By M. Joseph Brough,male
By Bonnie H. Cordon,female
Mark A. Bragg,male
S. Mark Palmer,male
Weatherford T. Clayton,male
By Joy D. Jones,female
Valeri V. Cordón,male
John C. Pingree Jr.,male
Adilson de Paula Parrella,male
By Sharon Eubank,female
Jose L. Alonso,male
Joni L. Koch,male
Taniela B. Wakolo,male
Taylor G. Godoy,male
By Reyna I. Aburto,female
By Douglas D. Holmes,male
Larry J. Echo Hawk,male
Massimo De Feo,male
Brian K. Taylor,male
By Michelle D. Craig,female
Steven R. Bangerter,male
By Cristina B. Franco,female
Jack N. Gerard,male
Matthew L. Carpenter,male
Brook P. Hales,male
Takashi Wada,male
Juan Pablo Villar,male
Kyle S. McKay,male
Mathias Held,male
By Becky Craven,female
David P. Homer,male
Jorge M. Alvarado,male
Hans T. Boom,male
L. Todd Budge,male
Rubén V. Alliaud,male
By Lisa L. Harkness,female
By Mark L. Pace,male
Peter M. Johnson,male
By Michelle Craig,female
John A. McCune,male
By Laudy Ruth Kaouk,female
Benjamin M. Z. Tai,male
James R. Rasband,male
By Enzo Serge Petelo,male
Ricardo P. Giménez,male
By Milton Camargo,male
Matthew S. Holland,male
Kelly R. Johnson,male
By Steven J. Lund,male
Jeremy R. Jaggi,male
William K. Jackson,male
Alan R. Walker,male
Thierry K. Mutombo,male
By Ahmad S. Corbitt,male
Jorge T. Becerra,male
By Jan E. Newman,male
By Bishop L. Todd Budge,male
By Bradley R. Wilcox,male
Moisés Villanueva,male
Clark G. Gilbert,male
Alfred Kyungu,male
Michael A. Dunn,male
Alvin F. Meredith III,male
Sean Douglas,male
By Camille N. Johnson,female
Ciro Schmeil,male
Patricio M. Giuffra,male
Vaiangina Sikahema,male
By Susan H. Porter,female
Christoffel Golden,male
Carlos G. Revillo Jr.,male
By Amy A. Wright,female
By Rebecca L. Craven,female
Adeyinka A. Ojediran,male
Jonathan S. Schmitt,male
Steven J. Lund,male
J. Anette Dennis,female
Isaac K. Morrison,male
Denelson Silva,male
Ryan K. Olsen,male
Mark D. Eddy,male
Kristin M. Yee,female
James W. McConkie III,male
Tracy Y. Browning,female
Michelle D. Craig,female
Ahmad S. Corbitt,male
Milton Camargo,male
Camille N. Johnson,female
Bonnie H. Cordon,female
Christophe G. Giraud-Carrier,male
Emily Belle Freeman,female
Alan T. Phillips,male
Robert M. Daines,male
Jan E. Newman,male
Tamara W. Runia,female
J. Kimo Esplin,male
Amy A. Wright,female
Alexander Dushku,male
Susan H. Porter,female
Michael T. Nelson,male
Mark L. Pace,male
Andrea Muñoz Spannaus,female
David L. Buckner,male
D. Martin Goury,male
I. Raymond Egbo,male
Bradley R. Wilcox,male
Aroldo B. Cavalcante,male
Gregorio E. Casillas,male
Karl D. Hirst,male
